date,starting_equity,ending_equity,status,reason,attempted,quantity,net_pnl,gross_pnl,unresolved,candidate_checks,assumptions,side,reference,tick_size,decision_qualified,ambiguity_flags,decision_time,entry_time,decision_price,decision_quantity,entry_bar_open,modeled_entry_price,symbol,isin,gap,shortlist_rank,initial_investment,stop,target,notional,planned_loss,estimated_stop_charges,adverse_fill_allowance,entry_price,exit_price,exit_bar_time,charges
2026-08-24,992.9,992.9,NO_TRADE,NO_QUALIFYING_CANDIDATE,False,0,0.0,0.0,False,"[{'symbol': 'CUPID', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'ETERNAL', 'status': 'NOT_QUALIFIED', 'reason': 'DECISION_TARGET_DISTANCE'}, {'symbol': 'LICI', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'SWIGGY', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'BEL', 'reason': 'GAP_BELOW_THRESHOLD'}]","['MINUTE_BAR_APPROXIMATION, not a replay of the proposed quote strategy', 'Decision uses the completed 09:15 minute close at 09:16 IST', 'Entry uses the 09:17 minute open with adverse slippage and tick rounding', 'No measured bid/ask, spread, depth, queue, or one-second execution latency', 'Broker intraday permission is assumed, not historically confirmed', 'Caller supplies the session-specific historical tick size', 'Stops round toward entry and targets round to the nearest tick, half up', 'Stop wins ambiguous intrabar stop/target ordering unless the open resolves it', 'Targets require a price strictly through the limit and fill at the limit', 'Target limits have no extra adverse slippage below their limit price', 'Missing candles after entry leave an unresolved position and block new entries']",,,,,,,,,,,,,,,,1000.0,,,,,,,,,,
2026-08-25,992.9,992.9,NO_TRADE,NO_QUALIFYING_CANDIDATE,False,0,0.0,0.0,False,"[{'symbol': 'CUPID', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'ETERNAL', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'LICI', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'BEL', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'GROWW', 'reason': 'GAP_BELOW_THRESHOLD'}]","['MINUTE_BAR_APPROXIMATION, not a replay of the proposed quote strategy', 'Decision uses the completed 09:15 minute close at 09:16 IST', 'Entry uses the 09:17 minute open with adverse slippage and tick rounding', 'No measured bid/ask, spread, depth, queue, or one-second execution latency', 'Broker intraday permission is assumed, not historically confirmed', 'Caller supplies the session-specific historical tick size', 'Stops round toward entry and targets round to the nearest tick, half up', 'Stop wins ambiguous intrabar stop/target ordering unless the open resolves it', 'Targets require a price strictly through the limit and fill at the limit', 'Target limits have no extra adverse slippage below their limit price', 'Missing candles after entry leave an unresolved position and block new entries']",,,,,,,,,,,,,,,,1000.0,,,,,,,,,,
2026-08-26,992.9,992.9,NO_FILL,ENTRY_ADVERSE_LIMIT,True,0,,,False,"[{'symbol': 'ETERNAL', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'CUPID', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'LICI', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'GROWW', 'status': 'NO_FILL', 'reason': 'ENTRY_ADVERSE_LIMIT'}]","['MINUTE_BAR_APPROXIMATION, not a replay of the proposed quote strategy', 'Decision uses the completed 09:15 minute close at 09:16 IST', 'Entry uses the 09:17 minute open with adverse slippage and tick rounding', 'No measured bid/ask, spread, depth, queue, or one-second execution latency', 'Broker intraday permission is assumed, not historically confirmed', 'Caller supplies the session-specific historical tick size', 'Stops round toward entry and targets round to the nearest tick, half up', 'Stop wins ambiguous intrabar stop/target ordering unless the open resolves it', 'Targets require a price strictly through the limit and fill at the limit', 'Target limits have no extra adverse slippage below their limit price', 'Missing candles after entry leave an unresolved position and block new entries']",LONG,203.01,0.01,True,[],2026-08-26T09:16:00+05:30,2026-08-26T09:17:00+05:30,197.41000366210938,1.0,197.9499969482422,198.05,GROWW,INE0HOQ01053,-0.014925373134328401,4.0,1000.0,,,,,,,,,,
2026-08-27,992.9,992.9,NO_TRADE,NO_QUALIFYING_CANDIDATE,False,0,0.0,0.0,False,"[{'symbol': 'ETERNAL', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'CUPID', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'LICI', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'GROWW', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'TATASTEEL', 'reason': 'GAP_BELOW_THRESHOLD'}]","['MINUTE_BAR_APPROXIMATION, not a replay of the proposed quote strategy', 'Decision uses the completed 09:15 minute close at 09:16 IST', 'Entry uses the 09:17 minute open with adverse slippage and tick rounding', 'No measured bid/ask, spread, depth, queue, or one-second execution latency', 'Broker intraday permission is assumed, not historically confirmed', 'Caller supplies the session-specific historical tick size', 'Stops round toward entry and targets round to the nearest tick, half up', 'Stop wins ambiguous intrabar stop/target ordering unless the open resolves it', 'Targets require a price strictly through the limit and fill at the limit', 'Target limits have no extra adverse slippage below their limit price', 'Missing candles after entry leave an unresolved position and block new entries']",,,,,,,,,,,,,,,,1000.0,,,,,,,,,,
2026-08-28,992.9,992.9,NO_TRADE,NO_QUALIFYING_CANDIDATE,False,0,0.0,0.0,False,"[{'symbol': 'ETERNAL', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'CUPID', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'LICI', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'GROWW', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'TATASTEEL', 'reason': 'GAP_BELOW_THRESHOLD'}]","['MINUTE_BAR_APPROXIMATION, not a replay of the proposed quote strategy', 'Decision uses the completed 09:15 minute close at 09:16 IST', 'Entry uses the 09:17 minute open with adverse slippage and tick rounding', 'No measured bid/ask, spread, depth, queue, or one-second execution latency', 'Broker intraday permission is assumed, not historically confirmed', 'Caller supplies the session-specific historical tick size', 'Stops round toward entry and targets round to the nearest tick, half up', 'Stop wins ambiguous intrabar stop/target ordering unless the open resolves it', 'Targets require a price strictly through the limit and fill at the limit', 'Target limits have no extra adverse slippage below their limit price', 'Missing candles after entry leave an unresolved position and block new entries']",,,,,,,,,,,,,,,,1000.0,,,,,,,,,,
2026-08-31,992.9,992.9,NO_TRADE,NO_QUALIFYING_CANDIDATE,False,0,0.0,0.0,False,"[{'symbol': 'ETERNAL', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'CUPID', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'LICI', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'GROWW', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'TATASTEEL', 'reason': 'GAP_BELOW_THRESHOLD'}]","['MINUTE_BAR_APPROXIMATION, not a replay of the proposed quote strategy', 'Decision uses the completed 09:15 minute close at 09:16 IST', 'Entry uses the 09:17 minute open with adverse slippage and tick rounding', 'No measured bid/ask, spread, depth, queue, or one-second execution latency', 'Broker intraday permission is assumed, not historically confirmed', 'Caller supplies the session-specific historical tick size', 'Stops round toward entry and targets round to the nearest tick, half up', 'Stop wins ambiguous intrabar stop/target ordering unless the open resolves it', 'Targets require a price strictly through the limit and fill at the limit', 'Target limits have no extra adverse slippage below their limit price', 'Missing candles after entry leave an unresolved position and block new entries']",,,,,,,,,,,,,,,,1000.0,,,,,,,,,,
2026-09-01,992.9,992.9,NO_TRADE,NO_QUALIFYING_CANDIDATE,False,0,0.0,0.0,False,"[{'symbol': 'ETERNAL', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'CUPID', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'LICI', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'GROWW', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'TATASTEEL', 'reason': 'GAP_BELOW_THRESHOLD'}]","['MINUTE_BAR_APPROXIMATION, not a replay of the proposed quote strategy', 'Decision uses the completed 09:15 minute close at 09:16 IST', 'Entry uses the 09:17 minute open with adverse slippage and tick rounding', 'No measured bid/ask, spread, depth, queue, or one-second execution latency', 'Broker intraday permission is assumed, not historically confirmed', 'Caller supplies the session-specific historical tick size', 'Stops round toward entry and targets round to the nearest tick, half up', 'Stop wins ambiguous intrabar stop/target ordering unless the open resolves it', 'Targets require a price strictly through the limit and fill at the limit', 'Target limits have no extra adverse slippage below their limit price', 'Missing candles after entry leave an unresolved position and block new entries']",,,,,,,,,,,,,,,,1000.0,,,,,,,,,,
2026-09-02,992.9,992.9,NO_TRADE,NO_QUALIFYING_CANDIDATE,False,0,0.0,0.0,False,"[{'symbol': 'ETERNAL', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'CUPID', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'LICI', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'GROWW', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'TATASTEEL', 'reason': 'GAP_BELOW_THRESHOLD'}]","['MINUTE_BAR_APPROXIMATION, not a replay of the proposed quote strategy', 'Decision uses the completed 09:15 minute close at 09:16 IST', 'Entry uses the 09:17 minute open with adverse slippage and tick rounding', 'No measured bid/ask, spread, depth, queue, or one-second execution latency', 'Broker intraday permission is assumed, not historically confirmed', 'Caller supplies the session-specific historical tick size', 'Stops round toward entry and targets round to the nearest tick, half up', 'Stop wins ambiguous intrabar stop/target ordering unless the open resolves it', 'Targets require a price strictly through the limit and fill at the limit', 'Target limits have no extra adverse slippage below their limit price', 'Missing candles after entry leave an unresolved position and block new entries']",,,,,,,,,,,,,,,,1000.0,,,,,,,,,,
2026-09-03,992.9,992.9,NO_TRADE,NO_QUALIFYING_CANDIDATE,False,0,0.0,0.0,False,"[{'symbol': 'ETERNAL', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'CUPID', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'LICI', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'GROWW', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'TATASTEEL', 'reason': 'GAP_BELOW_THRESHOLD'}]","['MINUTE_BAR_APPROXIMATION, not a replay of the proposed quote strategy', 'Decision uses the completed 09:15 minute close at 09:16 IST', 'Entry uses the 09:17 minute open with adverse slippage and tick rounding', 'No measured bid/ask, spread, depth, queue, or one-second execution latency', 'Broker intraday permission is assumed, not historically confirmed', 'Caller supplies the session-specific historical tick size', 'Stops round toward entry and targets round to the nearest tick, half up', 'Stop wins ambiguous intrabar stop/target ordering unless the open resolves it', 'Targets require a price strictly through the limit and fill at the limit', 'Target limits have no extra adverse slippage below their limit price', 'Missing candles after entry leave an unresolved position and block new entries']",,,,,,,,,,,,,,,,1000.0,,,,,,,,,,
2026-09-04,992.9,992.9,NO_FILL,ENTRY_ADVERSE_LIMIT,True,0,,,False,"[{'symbol': 'ETERNAL', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'CUPID', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'LICI', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'GROWW', 'status': 'NO_FILL', 'reason': 'ENTRY_ADVERSE_LIMIT'}]","['MINUTE_BAR_APPROXIMATION, not a replay of the proposed quote strategy', 'Decision uses the completed 09:15 minute close at 09:16 IST', 'Entry uses the 09:17 minute open with adverse slippage and tick rounding', 'No measured bid/ask, spread, depth, queue, or one-second execution latency', 'Broker intraday permission is assumed, not historically confirmed', 'Caller supplies the session-specific historical tick size', 'Stops round toward entry and targets round to the nearest tick, half up', 'Stop wins ambiguous intrabar stop/target ordering unless the open resolves it', 'Targets require a price strictly through the limit and fill at the limit', 'Target limits have no extra adverse slippage below their limit price', 'Missing candles after entry leave an unresolved position and block new entries']",SHORT,190.24,0.01,True,[],2026-09-04T09:16:00+05:30,2026-09-04T09:17:00+05:30,192.19000244140625,1.0,192.07000732421875,191.97,GROWW,INE0HOQ01053,0.014507989907485142,4.0,1000.0,,,,,,,,,,
