pnl_rank,isin,number_of_signals,number_of_trades,gross_pnl,net_pnl,gross_return_pct,net_return_pct,annualized_volatility,sharpe,sortino,max_drawdown,win_rate,average_trade_return,median_trade_return,profit_factor,best_trade,worst_trade,exposure_pct,turnover,trade_std,standard_error,t_stat,p_value,confidence_95_low,confidence_95_high,positive_months,negative_months,best_month,worst_month,monthly_return_std,buy_hold_pnl,excess_pnl,pnl_0bps,pnl_5bps,pnl_10bps,pnl_20bps,pnl_30bps,symbol,company_name,series,first_traded_date,last_traded_date,sessions_available,median_daily_value,median_volume,pct_near_zero_volume,average_daily_range,circuit_like_sessions,corporate_action_observations,coverage_ratio,liquidity_flag,coverage_flag,new_listing_flag,suspension_flag,strategy,parameters,execution_class,evaluation_start,evaluation_end
5,INE727B01026,114,114,101158.41019754075,60297.79176952713,1.0115841019754075,0.6029779176952714,0.5035722491463795,1.1764663145302123,1.97545926232358,-0.2457291865431388,0.4561403508771929,0.005196805158359,-0.0035088589244194,1.385456122447835,0.179742967457253,-0.0814130157379839,0.4523809523809524,228.0,0.0471199491274874,0.0044131875795255,1.1775627173585237,0.2414451647950752,-0.0035465153964329,0.0139401257131509,6,7,0.5933859921401381,-0.1176212180529973,0.1823471737447199,-43358.09146239517,103655.8832319223,101158.41019754075,79579.79251031452,60297.79176952713,27679.068031069797,1651.5244412140746,GENESYS,GENESYS INTL CORPN LTD,EQ,2025-08-20,2026-08-27,252,104878890.55,316497.5,0.0,0.0587554019598292,0,1,1.0,OK,FULL,False,False,gap_continuation_050,"{""gap_threshold"":0.005}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27
6,INE927D01051,93,93,92787.29745941822,60233.807167191786,0.927872974594182,0.6023380716719178,0.2972998982238692,1.7280663851933862,2.4663962140598565,-0.1497212308106277,0.5806451612903226,0.0055242361337858,0.0034705462617933,1.788565619208358,0.1764562676340186,-0.0541240335855017,0.369047619047619,186.0,0.0306178730301768,0.0031749255327682,1.7399577019273071,0.0852104903808432,-0.000781440024184,0.0118299122917557,7,5,0.3541654658837807,-0.0778729809165458,0.1142316264618789,506.23052959497727,59727.57663759681,92787.29745941822,75766.5659677879,60233.807167191786,33128.087951890804,10566.714092591996,JBMA,JBM AUTO LIMITED,EQ,2025-08-20,2026-08-27,252,233867173.4,376782.5,0.0,0.0345396962995377,0,0,1.0,OK,FULL,False,False,gap_continuation_050,"{""gap_threshold"":0.005}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27
7,INE099Z01011,105,105,95513.77872700043,58650.0148637635,0.9551377872700044,0.5865001486376349,0.2512032898548254,1.9618438904941105,2.6214314437685,-0.0686383303480249,0.5333333333333333,0.0046935394235591,0.0024117647058823,1.6962141894835916,0.082984520123839,-0.0428616187989554,0.4166666666666667,210.0,0.0243182798361543,0.0023732211066085,1.9777084446490376,0.0506075079761433,-1.2647089344786089e-05,0.009399725936463,7,6,0.248296195455181,-0.047387127197446,0.0779996286620252,5365.239294710264,53284.77556905324,95513.77872700043,76129.18468659747,58650.0148637635,28683.200186784627,4333.037690350291,MIDHANI,MISHRA DHATU NIGAM LTD,EQ,2025-08-20,2026-08-27,252,199957937.125,561181.0,0.0,0.0376211360367139,0,0,1.0,OK,FULL,False,False,gap_continuation_050,"{""gap_threshold"":0.005}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27
8,INE545U01014,85,85,82187.27434869914,53857.73642421287,0.8218727434869915,0.5385773642421288,0.1939586670766505,2.317934522827607,3.62679004869397,-0.0665197147849526,0.5176470588235295,0.0052892175343364,0.0027706422018347,1.9859968299431008,0.0748821495078477,-0.0268283752860412,0.3373015873015873,170.0,0.02067170215038,0.0022421609056864,2.3589821412558933,0.0206461041732825,0.0008304346823733,0.0097480003862994,7,6,0.1601520097782873,-0.0223578972497556,0.0651927500306752,-2476.869145451361,56334.60556966423,82187.27434869914,67431.41148008805,53857.73642421287,29889.5910370552,9618.15445964942,BANDHANBNK,BANDHAN BANK LIMITED,EQ,2025-08-20,2026-08-27,252,1283608997.815,7559650.5,0.0,0.0293006732042231,0,0,1.0,OK,FULL,False,False,gap_continuation_050,"{""gap_threshold"":0.005}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27
9,INE039A01010,108,108,87730.43718171617,51404.37371886245,0.8773043718171618,0.5140437371886246,0.3243865484963773,1.4344093749175786,2.5368137022639488,-0.1385785369815272,0.5,0.0043083620950033,-8.991071493324836e-05,1.506023787780319,0.1677095435684645,-0.0442885572139304,0.4285714285714285,216.0,0.031125841543499,0.0029950854989821,1.4384771641635952,0.1532173106813722,-0.0016290455902754,0.0102457697802821,7,6,0.2870901659459828,-0.0973973710141101,0.0988246276806131,53721.26960963168,-2316.895890769229,87730.43718171617,68600.87448677619,51404.37371886245,22055.01999338073,-1647.4510372261866,IFCI,IFCI LTD,EQ,2025-08-20,2026-08-27,252,724661962.5550001,12228758.5,0.0,0.0400497177507638,0,0,1.0,OK,FULL,False,False,gap_continuation_050,"{""gap_threshold"":0.005}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27
10,INE385W01011,119,119,86516.25684043672,47142.78773423098,0.8651625684043671,0.4714278773423097,0.3561893558663654,1.260499967672991,1.6452491570548065,-0.1714176606326273,0.4957983193277311,0.0037729132063446,-0.0018236124176858,1.3467179116749672,0.1096374546028737,-0.0884157119476267,0.4722222222222222,238.0,0.0326087973307274,0.0029892435502975,1.262163200442178,0.2093790037154167,-0.0021466028425313,0.0096924292552206,8,5,0.2869175355639106,-0.1490113349814323,0.1041037281824774,-34228.98496938229,81371.77270361327,86516.25684043672,65673.67674848478,47142.78773423098,16026.036558901891,-8553.877019053441,DCAL,DISHMAN CARBO AMCIS LTD,EQ,2025-08-20,2026-08-27,252,46934993.105,235896.5,0.0,0.0458938795841127,0,0,1.0,OK,FULL,False,False,gap_continuation_050,"{""gap_threshold"":0.005}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27
1,INE727B01026,58,58,117510.7654539656,93935.01143244177,1.175107654539656,0.9393501143244176,0.4281171057397804,1.7499038101927915,2.358427169961994,-0.1716431861403413,0.5344827586206896,0.0129166164576336,0.0048335357877032,1.96974809848604,0.179742967457253,-0.0814130157379839,0.2301587301587301,116.0,0.0554261710381497,0.0072778128060923,1.7747937191818226,0.0812717755421853,-0.0016569523057519,0.0274901852210192,8,5,0.4194635515058986,-0.0528843558776538,0.1408614271014409,-43358.09146239517,137293.10289483692,117510.7654539656,105390.73070658196,93935.01143244177,72875.19151248218,54067.03469404689,GENESYS,GENESYS INTL CORPN LTD,EQ,2025-08-20,2026-08-27,252,104878890.55,316497.5,0.0,0.0587554019598292,0,1,1.0,OK,FULL,False,False,gap_continuation_100,"{""gap_threshold"":0.01}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27
2,INE760L01018,54,54,94346.38487113058,74645.54886217834,0.9434638487113058,0.7464554886217833,0.3391541499180111,1.8064943433006837,3.320891445324585,-0.1259097085663106,0.4814814814814814,0.0113459269135896,-0.0039412571792922,2.0210864695418462,0.1340514179177707,-0.0460686234653224,0.2142857142857142,108.0,0.0453720998180166,0.006174360728487,1.8375873086329768,0.0717316683796468,-0.0010382723912211,0.0237301262184003,8,4,0.2273303781461686,-0.0501002978142587,0.0749917379396107,59004.72702716716,15640.821835011186,94346.38487113058,84237.69829701877,74645.54886217834,56908.45648803492,40942.69948885433,TBZ,TRIB BHIMJI ZAVERI LTD,EQ,2025-08-20,2026-08-27,252,40873557.605,251138.5,0.0,0.0430753674027625,0,0,1.0,OK,FULL,False,False,gap_continuation_100,"{""gap_threshold"":0.01}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27
3,INE545U01014,37,37,72883.60216912109,60712.21033395961,0.7288360216912109,0.6071221033395962,0.1581412477930189,3.079344272468176,4.481712009888045,-0.0345608692531386,0.6216216216216216,0.0131613877197946,0.0092519654088051,5.435798483561076,0.0748821495078477,-0.0236662496872654,0.1468253968253968,74.0,0.0232386357836127,0.0038204081891839,3.445021334907648,0.001467118019751,0.005413240790014,0.0209095346495752,8,1,0.1826038848722309,-0.0084942470538147,0.0599840339449942,-2476.869145451361,63189.07947941097,72883.60216912109,66689.85231683496,60712.21033395961,49376.14078472144,38819.55143809313,BANDHANBNK,BANDHAN BANK LIMITED,EQ,2025-08-20,2026-08-27,252,1283608997.815,7559650.5,0.0,0.0293006732042231,0,0,1.0,OK,FULL,False,False,gap_continuation_100,"{""gap_threshold"":0.01}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27
4,INE010J01012,51,51,70651.15911680707,54234.50465506516,0.7065115911680708,0.5423450465506516,0.3438432339523576,1.4291312136166232,1.0394812913267282,-0.1770214593397823,0.5098039215686274,0.0096352372202391,0.0033763440860215,1.8340714819192372,0.1448088394374902,-0.1522135738016137,0.2023809523809523,102.0,0.0477456806851121,0.0066857325761723,1.4411640176244471,0.1557721099014604,-0.0037934518667006,0.0230639263071789,8,3,0.2366050881632895,-0.0723823331593697,0.0879531722494282,-12906.79843244172,67141.30308750688,70651.15911680707,62239.39076910162,54234.50465506516,39369.05542593717,25910.901485736555,TEJASNET,TEJAS NETWORKS LIMITED,EQ,2025-08-20,2026-08-27,252,591811394.575,1434576.0,0.0,0.0428986346114633,0,0,1.0,OK,FULL,False,False,gap_continuation_100,"{""gap_threshold"":0.01}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27
5,INE506A01018,62,62,73309.68693793204,53231.25957878359,0.7330968693793205,0.5323125957878359,0.3427562611759092,1.409403775662524,1.53594316158806,-0.1354965997014348,0.5161290322580645,0.0077916446553757,0.0009125217926366,1.737957407432658,0.1516067193675889,-0.101793221253259,0.246031746031746,124.0,0.0432639095306435,0.0054945220049164,1.4180750661119943,0.1612574120694322,-0.0031953311339289,0.0187786204446804,4,8,0.3369721724543544,-0.0796953861431889,0.134236035586092,75965.93597224425,-22734.676393460657,73309.68693793204,62966.5238289409,53231.25957878359,35445.72900195504,19695.064117739486,DREDGECORP,DREDGING CORP OF INDIA,EQ,2025-08-20,2026-08-27,252,162115834.5,173829.0,0.0,0.0506892234744402,0,0,1.0,OK,FULL,False,False,gap_continuation_100,"{""gap_threshold"":0.01}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27
6,INE256A01028,32,32,57467.07628879914,47825.95140113679,0.5746707628879915,0.4782595140113679,0.1611866435113437,2.504776403851913,2.1229933581534755,-0.0434345087928011,0.625,0.0126167656651032,0.0097652531962472,3.904184256124564,0.0907120669056151,-0.042095751047277,0.1269841269841269,64.0,0.0262930282844274,0.004647994649462,2.714453569038287,0.0107469583508755,0.0031371180787467,0.0220964132514597,9,1,0.1076501052779104,-0.0096662737485695,0.0367163885649093,-11873.887617594708,59699.83901873149,57467.07628879914,52572.758965017536,47825.95140113679,38757.76122736145,30229.49379611452,ZEEL,ZEE ENTERTAINMENT ENT LTD,EQ,2025-08-20,2026-08-27,252,854467094.13,9338429.0,0.0,0.0366227186036878,0,0,1.0,OK,FULL,False,False,gap_continuation_100,"{""gap_threshold"":0.01}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27
7,INE880L01014,57,57,63610.34905107529,46097.47155681741,0.636103490510753,0.460974715568174,0.3003958250174559,1.4074550707667772,1.2641975244401942,-0.2825782074489288,0.5263157894736842,0.0074174320554032,0.0023689320388349,1.7392297602954832,0.1452443103921032,-0.0737084639498432,0.2261904761904762,114.0,0.0395178227932391,0.0052342634970407,1.4170918333776628,0.161995752751047,-0.0030680577150478,0.0179029218258544,7,5,0.3394212646187264,-0.1229841992055574,0.131594038081859,-4538.653366583414,50636.12492340083,63610.34905107529,54610.49124856232,46097.47155681741,30429.742520376705,16415.87065374403,KIOCL,KIOCL LIMITED,EQ,2025-08-20,2026-08-27,252,69919556.875,187756.0,0.0,0.0489629181572877,0,0,1.0,OK,FULL,False,False,gap_continuation_100,"{""gap_threshold"":0.01}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27
8,INE385W01011,59,59,61457.245517936215,43597.21448583581,0.6145724551793621,0.435972144858358,0.2657991967579986,1.4924058545963546,1.556243793031205,-0.1782878407954048,0.5084745762711864,0.0067233945320109,0.0023601359003396,1.6386172284065028,0.0821565105837075,-0.0595657894736841,0.2341269841269841,118.0,0.0343225688630395,0.0044684178623434,1.504647671532865,0.1378412108483142,-0.0022211156295088,0.0156679046935307,7,6,0.3684824324721047,-0.0811616968338323,0.1198838741873883,-34228.98496938229,77826.1994552181,61457.245517936215,52270.0309784034,43597.21448583581,27682.98272134991,13505.82380189096,DCAL,DISHMAN CARBO AMCIS LTD,EQ,2025-08-20,2026-08-27,252,46934993.105,235896.5,0.0,0.0458938795841127,0,0,1.0,OK,FULL,False,False,gap_continuation_100,"{""gap_threshold"":0.01}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27
9,INE722H01024,59,59,60211.49193152363,42487.339306407055,0.6021149193152364,0.4248733930640704,0.2656713868150838,1.4618961405622082,1.935566277204805,-0.2291824010028691,0.4915254237288136,0.0065827792380132,-0.0005370135570076,1.6893905352545469,0.1103826962691691,-0.0510940465918896,0.2341269841269841,118.0,0.0343268104596786,0.0044689700711907,1.472996939596713,0.1461583279887034,-0.002362836289611,0.0155283947656374,6,7,0.3230095879626549,-0.0870009689656402,0.131556491103581,23817.89580827234,18669.443498134715,60211.49193152363,51094.1437614568,42487.339306407055,26694.393846461466,12625.471547623065,RGL,RENAISSANCE GLOBAL LTD,EQ,2025-08-20,2026-08-27,252,62700777.875,527522.5,0.0,0.0474337757760246,0,0,1.0,OK,FULL,False,False,gap_continuation_100,"{""gap_threshold"":0.01}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27
10,INE070D01027,53,53,57745.81150109647,41985.27975433078,0.5774581150109648,0.4198527975433077,0.2724805314535359,1.416389135468316,1.5828516813170708,-0.1980873711744345,0.490566037735849,0.0072818578184419,-0.0005585585585585,1.8461751565848712,0.1640416666666666,-0.0611176470588236,0.2103174603174603,106.0,0.0371410334221739,0.0051017132965069,1.4273357586416495,0.1594609546777988,-0.0029554788683344,0.0175191945052182,7,5,0.1824774830311626,-0.0896372595910809,0.0879422338648894,-18125.30672337662,60110.5864777074,57745.81150109647,49662.13679645365,41985.27975433078,27772.597831375155,14958.39256704146,JAICORPLTD,JAI CORP LIMITED,EQ,2025-08-20,2026-08-27,252,63567305.81,541709.5,0.0,0.0402429742108131,0,0,1.0,OK,FULL,False,False,gap_continuation_100,"{""gap_threshold"":0.01}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27
