eq_rank,worklist_rank,symbol,current_symbol,company_name,isin,strategy,research_score,eq_screen_pass,worklist_pass,current_series,snapshot_price,broker_listed,mis_margin_percent,budget,notional_cap,cash_cap_shares,illustrative_risk_shares,illustrative_planned_loss,risk_budget,tick_size,recent_median_value,recent_sessions,number_of_trades,audited_trades,short_trades,restricted_trades,unknown_series_trades,non_eq_trades,screen_reasons,worklist_reasons,historical_initial_investment,net_pnl,historical_ending_value,pnl_30bps,sharpe,max_drawdown,original_max_drawdown,excess_pnl,confidence_95_low,coverage_ratio,intraday,execution_validated
22,,REGENCERAM,REGENCERAM,REGENCY CERAMICS LTD.,INE277C01012,gap_fade_100,98.3732027764006,True,False,EQ,34.86,False,,1000.0,500.0,14,,,5.0,0.01,220817.675,20.0,127,127,91,0,0,0,,Not listed in dated Zerodha MIS table | Below INR 100 pilot price floor or missing price | Fails 20-session INR 50 crore liquidity screen,100000.0,10356862.31399701,10456862.31399701,6299570.166418192,9.021853891335152,-0.06092776192836813,-0.0609277619283682,10388567.612010255,0.031125806110622,1.0,True,False
23,,SREEL,SREEL,SREELEATHERS LIMITED,INE099F01013,gap_fade_050,98.35347463229218,True,False,EQ,265.52,False,,1000.0,500.0,1,1.0,3.511040000000034,5.0,0.01,4780089.57,20.0,162,162,126,0,0,0,,Not listed in dated Zerodha MIS table | Fails 20-session INR 50 crore liquidity screen,100000.0,575305.9413934487,675305.9413934487,255457.07408662967,8.409130117296215,-0.04499999999999993,-0.0449999999999999,563697.360031624,0.0094063830830475,1.0,True,False
24,,HEXATRADEX,HEXATRADEX,HEXA TRADEX LIMITED,INE750M01017,gap_fade_100,98.35275161130392,True,False,EQ,157.65,False,,1000.0,500.0,3,2.0,4.140599999999987,5.0,0.01,203274.85499999998,20.0,104,104,82,0,0,0,,Not listed in dated Zerodha MIS table | Fails 20-session INR 50 crore liquidity screen,100000.0,335842.9762649534,435842.9762649534,188957.81243015977,8.34612530646218,-0.03314376788675233,-0.0331437678867523,347099.1119186794,0.0116876114208196,1.0,True,False
25,,ASTAR,ASTAR,ASIAN STAR CO. LTD.,INE194D01017,gap_fade_050,98.31680713931581,True,False,EQ,585.0,False,,1000.0,500.0,0,,,5.0,,44673.1,17.0,47,47,37,0,0,0,,Not listed in dated Zerodha MIS table | One share exceeds INR 500 cash cap | Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,246351.39014482108,346351.3901448211,188284.1631527704,5.314728197750063,-0.016687499999999855,-0.0166874999999998,258279.9726458997,0.0197000019041425,0.3174603174603174,True,False
26,,PALASHSECU,PALASHSECU,PALASH SECURITIES LTD,INE471W01019,gap_fade_050,98.29408362254173,True,False,EQ,90.17,False,,1000.0,500.0,5,,,5.0,0.01,123267.93,20.0,174,174,117,0,0,0,,Not listed in dated Zerodha MIS table | Below INR 100 pilot price floor or missing price | Fails 20-session INR 50 crore liquidity screen,100000.0,1094191.0151418382,1194191.0151418382,500366.29968338495,7.861396958649033,-0.05474979905694599,-0.0547497990569459,1120600.8512074118,0.0111523362527937,1.0,True,False
27,,ASTAR,ASTAR,ASIAN STAR CO. LTD.,INE194D01017,gap_fade_100,98.25545364402579,True,False,EQ,585.0,False,,1000.0,500.0,0,,,5.0,,44673.1,17.0,41,41,31,0,0,0,,Not listed in dated Zerodha MIS table | One share exceeds INR 500 cash cap | Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,224259.631378872,324259.63137887197,176394.18999044533,5.175303574432529,-0.01574999999999993,-0.0157499999999999,236188.21387995055,0.0216066584965402,0.3174603174603174,True,False
28,,RKDL,RKDL,RAVI KUMAR DIST. LTD.,INE722J01012,gap_fade_100,98.24657081474136,True,False,EQ,18.39,False,,1000.0,500.0,27,,,5.0,0.01,146033.15,20.0,133,133,86,0,0,0,,Not listed in dated Zerodha MIS table | Below INR 100 pilot price floor or missing price | Fails 20-session INR 50 crore liquidity screen,100000.0,2398387.501529445,2498387.501529445,1384562.8760766196,8.055435175988164,-0.06222267206477716,-0.0622226720647772,2430862.4657640657,0.0195703087718416,1.0,True,False
29,,UNITEDTEA,UNITEDTEA,UNITED NILGIRI TEA LTD,INE458F01011,gap_fade_100,98.24429846306397,True,False,EQ,442.8,False,,1000.0,500.0,1,0.0,,5.0,0.05,840238.525,20.0,91,91,63,0,0,0,,"Not listed in dated Zerodha MIS table | No whole share fits illustrative 1% stop and INR 5 planned-risk limit, or tick is missing | Fails 20-session INR 50 crore liquidity screen",100000.0,349456.9330759495,449456.9330759495,213942.1178274761,6.107295811660952,-0.03549231584525703,-0.0354923158452571,359892.05810056056,0.0121640973932401,1.0,True,False
30,,SRGHFL,SRGHFL,SRG HOUSING FINANCE L,INE559N01010,gap_fade_050,98.15608990249544,True,False,EQ,245.45,False,,1000.0,500.0,2,1.0,3.250900000000017,5.0,0.05,277636.925,20.0,164,164,90,0,0,0,,Not listed in dated Zerodha MIS table | Fails 20-session INR 50 crore liquidity screen,100000.0,767151.5500728415,867151.5500728415,353201.0231328308,6.881119406775743,-0.05428070175438571,-0.0542807017543857,781986.4519949005,0.0098511123019557,0.996031746031746,True,False
31,,VIVIDHA,VIVIDHA,VISAGAR POLYTEX LTD,INE370E01029,close_to_open,98.1500991571641,True,False,EQ,0.52,False,,1000.0,500.0,961,,,5.0,0.01,103845.35500000001,20.0,251,251,0,0,0,0,,Not listed in dated Zerodha MIS table | Overnight strategy needs separate delivery and settlement review | Below INR 100 pilot price floor or missing price | Fails 20-session INR 50 crore liquidity screen,100000.0,1081032.7360484728,1181032.7360484728,336091.3161468544,9.13644819186639,-0.058803951482479744,-0.0588039514824798,1118382.1336388343,0.0078718819399533,1.0,False,False
