eq_rank,worklist_rank,symbol,current_symbol,company_name,isin,strategy,research_score,eq_screen_pass,worklist_pass,current_series,snapshot_price,broker_listed,mis_margin_percent,budget,notional_cap,cash_cap_shares,illustrative_risk_shares,illustrative_planned_loss,risk_budget,tick_size,recent_median_value,recent_sessions,number_of_trades,audited_trades,short_trades,restricted_trades,unknown_series_trades,non_eq_trades,screen_reasons,worklist_reasons,historical_initial_investment,net_pnl,historical_ending_value,pnl_30bps,sharpe,max_drawdown,original_max_drawdown,excess_pnl,confidence_95_low,coverage_ratio,intraday,execution_validated
16373,403,CUB,CUB,CITY UNION BANK LTD,INE491A01021,momentum_1d,35.774871921996365,True,True,EQ,236.01,True,20.0,1000.0,500.0,2,1.0,3.1320200000000136,5.0,0.01,520786236.12,20.0,94,94,43,0,0,0,,,100000.0,-20170.271524473952,79829.72847552605,-45285.937429436686,-0.8168939164922554,-0.3112690299773557,-0.3112690299773558,-28109.24595589086,-0.0071744820015554,1.0,True,False
16393,404,RVNL,RVNL,RAIL VIKAS NIGAM LIMITED,INE415G01027,reversal_1d,35.70752768137498,True,True,EQ,212.49,True,20.0,1000.0,500.0,2,1.0,2.824980000000005,5.0,0.01,790215108.33,20.0,64,64,32,0,0,0,,,100000.0,-27664.61834115008,72335.38165884992,-44106.79919228743,-1.8674479738889125,-0.3064211142270886,-0.3064211142270887,6431.491498666801,-0.0099464572515523,1.0,True,False
16437,405,WIPRO,WIPRO,WIPRO LTD,INE075A01022,gap_continuation_050,35.518509337299626,True,True,EQ,176.4,True,20.0,1000.0,500.0,2,2.0,4.655600000000039,5.0,0.01,1251249582.315,20.0,97,97,39,0,0,0,,,100000.0,-25311.367626223717,74688.63237377629,-49431.44672253127,-1.8395730782988,-0.27323178603707077,-0.2732317860370707,3260.060945204925,-0.005978834443542,1.0,True,False
16445,406,CROMPTON,CROMPTON,CROMPT GREA CON ELEC LTD,INE299U01018,gap_continuation_050,35.47306230375145,True,True,EQ,232.4,True,20.0,1000.0,500.0,2,1.0,3.074799999999993,5.0,0.01,847721314.9200001,20.0,81,81,23,0,0,0,,,100000.0,-24175.671447452027,75824.32855254797,-45259.00221939218,-1.7891971985425072,-0.3360387100510811,-0.3360387100510811,3624.0250624112814,-0.0068920667210192,1.0,True,False
16448,407,FEDERALBNK,FEDERALBNK,FEDERAL BANK LTD,INE171A01029,reversal_1d,35.45116509667824,True,True,EQ,343.0,True,20.0,1000.0,500.0,1,1.0,4.515999999999978,5.0,0.05,1485111743.85,20.0,41,41,26,0,0,0,,,100000.0,-15534.381115724083,84465.61888427591,-28383.699764452234,-1.9479002786770487,-0.15697939726429422,-0.1569793972642943,-87891.29188803081,-0.0080834380854652,1.0,True,False
16487,408,KTKBANK,KTKBANK,KARNATAKA BANK LIMITED,INE614B01018,gap_fade_050,35.260700710626345,True,True,EQ,340.1,True,20.0,1000.0,500.0,1,1.0,4.510200000000034,5.0,0.05,875316394.0,20.0,90,90,62,0,0,0,,,100000.0,-13301.30352700496,86698.69647299504,-39594.40455856508,-0.7342485315286139,-0.27166963866469096,-0.2716696386646909,-103030.46898545208,-0.0052577816551771,1.0,True,False
16490,409,CUB,CUB,CITY UNION BANK LTD,INE491A01021,turn_of_month,35.244794248884475,True,True,EQ,236.01,True,20.0,1000.0,500.0,2,1.0,3.1320200000000136,5.0,0.01,520786236.12,20.0,75,75,0,0,0,0,,,100000.0,-21827.865871558024,78172.13412844198,-42186.22304583035,-1.0333001172718486,-0.27908503313701283,-0.2790850331370128,-29766.84030297493,-0.0086971533365809,1.0,True,False
16503,410,SAIL,SAIL,STEEL AUTHORITY OF INDIA,INE114A01011,gap_fade_100,35.20761031234507,True,True,EQ,196.8,True,20.0,1000.0,500.0,2,1.0,2.603600000000008,5.0,0.01,3778441048.885,20.0,36,36,18,0,0,0,,,100000.0,-18075.183347201164,81924.81665279884,-29141.931954850268,-1.5079648954458806,-0.19422056552148537,-0.1942205655214853,-75011.27051584648,-0.0123461647185137,1.0,True,False
16525,411,TMPV,TMPV,TATA MOTORS PASS VEH LTD,INE155A01022,gap_fade_050,35.14067922657412,True,True,EQ,311.5,True,20.0,1000.0,500.0,1,1.0,4.093000000000023,5.0,0.05,2618626895.5,20.0,94,94,57,0,0,0,,,100000.0,-24104.86997119672,75895.13002880328,-47990.14749733618,-1.556218668681367,-0.33267044776305155,-0.3326704477630515,493.7044320618734,-0.006316433845483,1.0,True,False
16542,412,ASHOKLEY,ASHOKLEY,ASHOK LEYLAND LTD,INE208A01029,momentum_1d,35.07581391505536,True,True,EQ,169.0,True,20.0,1000.0,500.0,2,2.0,4.485999999999995,5.0,0.01,2510244023.355,20.0,70,70,32,0,0,0,,,100000.0,-20105.701615458413,79894.29838454159,-39710.26755450579,-1.0367594302335434,-0.2246709651851132,-0.2246709651851132,-53208.94291197692,-0.0085544629400983,1.0,True,False
16572,413,TIMETECHNO,TIMETECHNO,TIME TECHNOPLAST LTD.,INE508G01029,momentum_5d,34.99504214179475,True,True,EQ,188.49,True,20.0,1000.0,500.0,2,2.0,4.973959999999991,5.0,0.01,603376241.075,20.0,70,70,36,0,0,0,,,100000.0,-25984.328364248475,74015.67163575153,-44163.631744586906,-1.413714326319089,-0.2747283683700559,-0.2747283683700559,-10649.465971266123,-0.009645310669174,1.0,True,False
16585,414,CANBK,CANBK,CANARA BANK,INE476A01022,momentum_1d,34.95620558585358,True,True,EQ,125.5,True,20.0,1000.0,500.0,3,3.0,4.963,5.0,0.01,1538352078.0549998,20.0,71,71,33,0,0,0,,,100000.0,-20627.768796778168,79372.23120322183,-40343.36692283717,-1.4705427606550203,-0.2156084997145431,-0.2156084997145431,-35376.58226503295,-0.0072668112079309,1.0,True,False
16651,415,MOTHERSON,MOTHERSON,SAMVRDHNA MTHRSN INTL LTD,INE775A01035,momentum_5d,34.68496942654107,True,True,EQ,160.7,True,20.0,1000.0,500.0,3,2.0,4.222800000000046,5.0,0.01,1970325383.705,20.0,69,69,19,0,0,0,,,100000.0,-17186.871448361635,82813.12855163837,-37246.16670736576,-1.0398735533177008,-0.21774204382404683,-0.2177420438240469,-84188.8835207959,-0.0073835161590314,1.0,True,False
16703,416,MANAPPURAM,MANAPPURAM,MANAPPURAM FINANCE LTD,INE522D01027,momentum_5d,34.49223268881177,True,True,EQ,339.7,True,20.0,1000.0,500.0,1,1.0,4.459400000000023,5.0,0.05,1569912665.4250002,20.0,64,64,19,0,0,0,,,100000.0,-19853.787814830222,80146.21218516977,-38044.89442323842,-1.5131497849009976,-0.19853787814830226,-0.1866499906272662,-48957.85014092924,-0.0076321658070901,1.0,True,False
