date,symbol,isin,series,close
2026-09-04,AWFIS,INE108V01019,EQ,260.8
2026-09-04,AWL,INE699H01024,EQ,187.29
2026-09-04,AXISBANK,INE238A01034,EQ,1273.0
2026-09-04,AXISCADES,INE555B01013,EQ,1711.6
2026-09-04,AXITA,INE02EZ01022,EQ,8.01
2026-09-04,AXTEL,INE767C01012,EQ,394.5
2026-09-04,AYE,INE501X01029,EQ,184.81
2026-09-04,AYMSYNTEX,INE193B01039,EQ,310.7
2026-09-04,AZAD,INE02IJ01035,EQ,2777.3
2026-09-04,AZADIND,INE566M01017,EQ,89.59
2026-09-04,BNALTD,INE489D01011,BE,360.0
2026-09-04,BBTCL,INE01EE01011,EQ,230.22
2026-09-04,BAGFILMS,INE116D01028,EQ,4.51
2026-09-04,BLKASHYAP,INE350H01032,EQ,59.34
2026-09-04,STYLEBAAZA,INE01FR01028,EQ,400.25
2026-09-04,BAFNAPH,INE878I01022,BE,295.85
2026-09-04,BAIDFIN,INE020D01022,EQ,10.12
2026-09-04,BAJAJ-AUTO,INE917I01010,EQ,11919.0
2026-09-04,BAJAJCON,INE933K01021,EQ,517.55
2026-09-04,BAJAJELEC,INE193E01025,EQ,331.15
2026-09-04,BAJFINANCE,INE296A01032,EQ,1060.5
2026-09-04,BAJAJFINSV,INE918I01026,EQ,1970.0
2026-09-04,BAJAJHCARE,INE411U01027,EQ,321.45
2026-09-04,BAJAJHIND,INE306A01021,EQ,21.86
2026-09-04,BAJAJHLDNG,INE118A01012,EQ,11162.0
2026-09-04,BAJAJHFL,INE377Y01014,EQ,83.08
2026-09-04,BAJAJST,INE704G01024,EQ,362.95
2026-09-04,BAJEL,INE0KQN01018,EQ,183.82
2026-09-04,BALPHARMA,INE083D01012,EQ,87.73
2026-09-04,BALAMINES,INE050E01027,EQ,2525.2
2026-09-04,BALAJITELE,INE794B01026,EQ,93.17
2026-09-04,BALAXI,INE618N01022,EQ,25.37
2026-09-04,BALKRISIND,INE787D01026,EQ,2284.6
2026-09-04,BALKRISHNA,INE875R01011,EQ,17.08
2026-09-04,BALMLAWRIE,INE164A01016,EQ,177.98
2026-09-04,BLIL,INE525F01025,EQ,72.53
2026-09-04,BALRAMCHIN,INE119A01028,EQ,690.6
2026-09-04,BALUFORGE,INE011E01029,EQ,574.1
2026-09-04,BANARBEADS,INE655B01011,EQ,113.9
2026-09-04,BANCOINDIA,INE213C01025,EQ,623.5
2026-09-04,BANDHANBNK,INE545U01014,EQ,164.95
2026-09-04,BANG,INE863I01016,EQ,34.79
2026-09-04,BANKBARODA,INE028A01039,EQ,239.0
2026-09-04,BANKINDIA,INE084A01016,EQ,145.0
2026-09-04,MAHABANK,INE457A01014,EQ,85.95
2026-09-04,BANKA,INE862Y01015,EQ,79.0
2026-09-04,BASML,INE186H01022,BE,25.41
2026-09-04,BANARISUG,INE459A01010,EQ,3803.3
2026-09-04,BANSALWIRE,INE0B9K01025,EQ,315.0
2026-09-04,BANSWRAS,INE629D01020,EQ,117.05
2026-09-04,BVCL,INE139I01011,EQ,43.48
2026-09-04,BASF,INE373A01013,EQ,3864.9
2026-09-04,BATAINDIA,INE176A01028,EQ,672.75
2026-09-04,BATLIBOI,INE177C01022,EQ,90.81
2026-09-04,BAYERCROP,INE462A01022,EQ,3989.9
