date,symbol,isin,series,close
2026-09-04,ASTAR,INE194D01017,EQ,585.0
2026-09-04,ASIANTNE,INE822B01017,EQ,9.74
2026-09-04,ASKAUTOLTD,INE491J01022,EQ,618.85
2026-09-04,ASPINWALL,INE991I01015,EQ,259.25
2026-09-04,ASSAMENT,INE165G01010,EQ,830.0
2026-09-04,ASALCBR,INE073G01016,EQ,706.35
2026-09-04,ASTEC,INE563J01010,EQ,554.45
2026-09-04,ASTERDM,INE914M01019,EQ,785.75
2026-09-04,ASTRAMICRO,INE386C01029,EQ,1729.0
2026-09-04,ASTRAL,INE006I01046,EQ,1492.9
2026-09-04,ASTRAZEN,INE203A01020,EQ,6944.0
2026-09-04,ASTRON,INE646X01014,BZ,3.06
2026-09-04,ATALREAL,INE0ALR01029,EQ,26.22
2026-09-04,ATAM,INE09KD01013,EQ,52.99
2026-09-04,ATHERENERG,INE0LEZ01016,EQ,1584.0
2026-09-04,ATLANTAELE,INE0Z4F01028,EQ,1881.7
2026-09-04,ATLANTAA,INE285H01022,EQ,39.15
2026-09-04,ATLASCYCLE,INE446A01025,EQ,96.18
2026-09-04,ATULAUTO,INE951D01028,EQ,465.15
2026-09-04,ATUL,INE100A01010,EQ,6386.0
2026-09-04,AUBANK,INE949L01017,EQ,1065.0
2026-09-04,AUGMONT,INE16W401027,EQ,901.5
2026-09-04,AURIONPRO,INE132H01018,EQ,689.7
2026-09-04,AUROPHARMA,INE406A01037,EQ,1653.1
2026-09-04,AURUM,INE898S01029,EQ,225.16
2026-09-04,AURUS,INE142K01011,EQ,4.84
2026-09-04,AUSOMENT,INE218C01016,EQ,161.79
2026-09-04,AUSTENG,INE759F01012,EQ,124.7
2026-09-04,AIIL,INE206F01022,EQ,519.9
2026-09-04,AUTOIND,INE718H01014,EQ,86.45
2026-09-04,ACGL,INE451C01013,EQ,1797.6
2026-09-04,AUTOAXLES,INE449A01011,EQ,1688.7
2026-09-04,ASAL,INE900C01027,EQ,473.75
2026-09-04,AVADHSUGAR,INE349W01017,EQ,809.5
2026-09-04,AVALON,INE0LCL01028,EQ,2196.6
2026-09-04,AVANCE,INE758A01072,EQ,0.82
2026-09-04,AVANTEL,INE005B01027,EQ,154.96
2026-09-04,AVANTIFEED,INE871C01038,EQ,798.6
2026-09-04,DMART,INE192R01011,EQ,3770.0
2026-09-04,CCAVENUE,INE483S01020,EQ,15.7
2026-09-04,AVG,INE680Z01018,BE,166.04
2026-09-04,ASMS,INE855F01042,BE,7.07
2026-09-04,AVONMORE,INE323B01024,EQ,13.02
2026-09-04,AVROIND,INE652Z01025,EQ,8.72
2026-09-04,AVTNPL,INE488D01021,EQ,91.02
