symbol,mis_margin_percent,listed_mis_multiplier
EGOLD,20.0,5.0
EICHERMOT,20.0,5.0
EIDPARRY,20.0,5.0
EIEL,20.0,5.0
EIHOTEL,20.0,5.0
EIMCOELECO,20.0,5.0
EKC,20.0,5.0
ELANTAS,20.0,5.0
ELCIDIN,20.0,5.0
ELECON,20.0,5.0
ELECTCAST,20.0,5.0
ELECTHERM,20.0,5.0
ELGIEQUIP,20.0,5.0
ELIN,20.0,5.0
ELLEN,20.0,5.0
ELPROINTL,20.0,5.0
EMAMILTD,20.0,5.0
EMBDL,20.0,5.0
EMCURE,20.0,5.0
EMIL,20.0,5.0
EMMVEE,20.0,5.0
EMSLIMITED,20.0,5.0
EMUDHRA,20.0,5.0
ENDURANCE,20.0,5.0
ENERGY,20.0,5.0
ENGINERSIN,20.0,5.0
ENRIN,20.0,5.0
ENTERO,20.0,5.0
EPACK,20.0,5.0
EPACKPEB,20.0,5.0
EPIGRAL,20.0,5.0
EPL,20.0,5.0
EQUITASBNK,20.0,5.0
ERIS,20.0,5.0
ESABINDIA,20.0,5.0
ESCORTS,20.0,5.0
ESDS,50.0,2.0
ESILVER,20.0,5.0
ESTER,20.0,5.0
ETERNAL,20.0,5.0
ETHOSLTD,20.0,5.0
EUREKAFORB,20.0,5.0
EUROPRATIK,20.0,5.0
EVEREADY,20.0,5.0
EVINDIA,20.0,5.0
EXCELINDUS,20.0,5.0
EXCELSOFT,20.0,5.0
EXICOM,20.0,5.0
EXIDEIND,20.0,5.0
EXPLEOSOL,20.0,5.0
FABTECH,20.0,5.0
FACT,20.0,5.0
FAZE3Q,20.0,5.0
FCL,20.0,5.0
FDC,20.0,5.0
FEDDERSHOL,20.0,5.0
FEDERALBNK,20.0,5.0
FEDFINA,20.0,5.0
FERMENTA,20.0,5.0
FIEMIND,20.0,5.0
FILATEX,20.0,5.0
FINCABLES,20.0,5.0
FINEORG,20.0,5.0
FINIETF,20.0,5.0
FINKURVE,20.0,5.0
FINOPB,20.0,5.0
FINPIPE,20.0,5.0
FIRSTCRY,20.0,5.0
FISCHER,20.0,5.0
FIVESTAR,20.0,5.0
FLAIR,20.0,5.0
FLUOROCHEM,20.0,5.0
FMCGIETF,20.0,5.0
FMGOETZE,20.0,5.0
FORCEMOT,20.0,5.0
FORTIS,20.0,5.0
FOSECOIND,20.0,5.0
FRACTAL,20.0,5.0
FREDUN,20.0,5.0
FRONTSP,20.0,5.0
FSL,20.0,5.0
FUSION,20.0,5.0
GABRIEL,20.0,5.0
GAEL,20.0,5.0
GAIL,20.0,5.0
GAJA,20.0,5.0
GALAPREC,20.0,5.0
GALAXYSURF,20.0,5.0
GALLANTT,20.0,5.0
GANDHAR,20.0,5.0
GANECOS,20.0,5.0
GANESHCP,20.0,5.0
GANESHHOU,20.0,5.0
GARFIBRES,20.0,5.0
GARUDA,20.0,5.0
GATEWAY,20.0,5.0
GCSL,20.0,5.0
GEMAROMA,20.0,5.0
GENCON,20.0,5.0
GENESYS,50.0,2.0
GENUSPOWER,20.0,5.0
GEOJITFSL,20.0,5.0
GESHIP,20.0,5.0
GHCL,20.0,5.0
GHCLTEXTIL,20.0,5.0
GICHSGFIN,20.0,5.0
GICRE,20.0,5.0
GILLETTE,20.0,5.0
GILT5YBEES,20.0,5.0
GIPCL,20.0,5.0
GKENERGY,20.0,5.0
GKSL,20.0,5.0
GLAND,20.0,5.0
GLAXO,20.0,5.0
GLENMARK,20.0,5.0
GLOBUSSPR,20.0,5.0
GMBREW,20.0,5.0
GMDCLTD,20.0,5.0
GMMPFAUDLR,20.0,5.0
GMRAIRPORT,20.0,5.0
GMRP&UI,20.0,5.0
GNA,20.0,5.0
GNFC,20.0,5.0
GNRL,20.0,5.0
GOCLCORP,20.0,5.0
GOCOLORS,20.0,5.0
GODAVARIB,20.0,5.0
GODFRYPHLP,20.0,5.0
GODIGIT,20.0,5.0
GODREJAGRO,20.0,5.0
GODREJCP,20.0,5.0
GODREJIND,20.0,5.0
GODREJPROP,20.0,5.0
GOKEX,20.0,5.0
GOKULAGRO,20.0,5.0
GOLD1,20.0,5.0
GOLDADD,20.0,5.0
GOLDAXIS,20.0,5.0
GOLDBEES,20.0,5.0
GOLDBETA,20.0,5.0
GOLDCASE,20.0,5.0
GOLDETF,20.0,5.0
GOLDIAM,20.0,5.0
GOLDIETF,20.0,5.0
