eq_rank,worklist_rank,symbol,current_symbol,company_name,isin,strategy,research_score,eq_screen_pass,worklist_pass,current_series,snapshot_price,broker_listed,mis_margin_percent,budget,notional_cap,cash_cap_shares,illustrative_risk_shares,illustrative_planned_loss,risk_budget,tick_size,recent_median_value,recent_sessions,number_of_trades,audited_trades,short_trades,restricted_trades,unknown_series_trades,non_eq_trades,screen_reasons,worklist_reasons,historical_initial_investment,net_pnl,historical_ending_value,pnl_30bps,sharpe,max_drawdown,original_max_drawdown,excess_pnl,confidence_95_low,coverage_ratio,intraday,execution_validated
4621,,GLOSTERLTD,GLOSTERLTD,GLOSTER LIMITED,INE350Z01018,volume_continuation,73.86316096706719,True,False,EQ,596.5,False,,1000.0,500.0,0,,,5.0,0.05,619446.075,20.0,25,25,7,0,0,0,,Not listed in dated Zerodha MIS table | One share exceeds INR 500 cash cap | Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,-4325.360348490052,95674.63965150995,-13468.79225018312,-0.0467642846896149,-0.19022423075415396,-0.1902242307541539,29825.09996637625,-0.0166322730098813,0.2341977309562398,True,False
4622,,OFSS,OFSS,ORACLE FIN SERV SOFT LTD.,INE881D01027,gap_fade_050,73.86145838400545,True,False,EQ,12058.0,True,20.0,1000.0,500.0,0,,,5.0,0.05,2399810458.5,20.0,983,983,671,0,0,0,,One share exceeds INR 500 cash cap,100000.0,415692.4553453252,515692.4553453252,-89912.23671106716,0.901281123536278,-0.5687797529164005,-0.5687797529164005,183298.405072655,0.0005783200037849,1.0,True,False
4623,,TIMEX,TIMEX,TIMEX GROUP INDIA LTD.,INE064A01026,gap_fade_100,73.8609719317021,True,False,EQ,669.85,True,20.0,1000.0,500.0,0,,,5.0,0.05,196811476.025,20.0,17,17,13,0,0,0,,One share exceeds INR 500 cash cap | Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,6540.112729269691,106540.11272926969,-454.1601681308093,0.2140331187214277,-0.08362675905917971,-0.0836267590591796,-87234.14592621825,-0.0089558639049977,0.0368719611021069,True,False
4624,,MUNJALSHOW,MUNJALSHOW,MUNJAL SHOWA LTD,INE577A01027,close_to_open,73.85513450406188,True,False,EQ,129.21,True,20.0,1000.0,500.0,3,2.0,3.4168400000000125,5.0,0.01,3659789.38,20.0,2467,2467,0,0,0,0,,Overnight strategy needs separate delivery and settlement review | Fails 20-session INR 50 crore liquidity screen,100000.0,2542025.8451488605,2642025.8451488605,-99864.1331751627,1.834537298735471,-0.3996952557093363,-0.3996952557093363,2568546.9758513514,0.0009229020520916,1.0,False,False
4625,,APOLLOPIPE,APOLLOPIPE,APOLLO PIPES LIMITED,INE126J01016,close_to_open,73.85270224254512,True,False,EQ,605.1,True,20.0,1000.0,500.0,0,,,5.0,0.05,190297836.075,20.0,1678,1678,0,0,0,0,,Overnight strategy needs separate delivery and settlement review | One share exceeds INR 500 cash cap | Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,1574502.0007629204,1674502.0007629204,-97969.23220395498,1.6316843037027888,-0.5698620945310662,-0.5698620945310662,1193786.8360701012,0.0011002910911185,0.6811183144246353,False,False
4626,,MPSLTD,MPSLTD,MPS LIMITED,INE943D01017,close_to_open,73.84735126720825,True,False,EQ,2658.9,True,20.0,1000.0,500.0,0,,,5.0,0.05,59549622.7,20.0,2467,2467,0,0,0,0,,Overnight strategy needs separate delivery and settlement review | One share exceeds INR 500 cash cap | Fails 20-session INR 50 crore liquidity screen,100000.0,3896552.903796997,3996552.903796997,-99794.165749528,1.8910722835613103,-0.4348201207119011,-0.4348201207119011,3587259.881256805,0.0010595509497431,1.0,False,False
4627,,KSE,KSE,KSE LTD.,INE953E01022,close_to_open,73.84443255338815,True,False,EQ,180.12,False,,1000.0,500.0,2,2.0,4.7604799999999665,5.0,0.01,4005815.88,15.0,8,8,0,0,0,0,,Not listed in dated Zerodha MIS table | Overnight strategy needs separate delivery and settlement review | Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,-2777.8654722432984,97222.1345277567,-5856.630606540246,-0.2656625698047948,-0.04274785920277857,-0.0427478592027784,5711.875876036662,-0.0134830435237268,0.0036466774716369,False,False
4628,,PAKKA,PAKKA,PAKKA LIMITED,INE551D01018,gap_fade_050,73.83689254268619,True,False,EQ,73.71,True,20.0,1000.0,500.0,6,,,5.0,0.01,8801974.344999999,20.0,438,438,335,0,0,0,,Below INR 100 pilot price floor or missing price | Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,84973.1824148102,184973.1824148102,-67996.02741087924,0.3805693789839978,-0.530743611827984,-0.530743611827984,122886.01728086396,-0.0013759801595162,0.312803889789303,True,False
4629,,NCLIND,NCLIND,NCL INDUSTRIES LIMITED,INE732C01016,close_to_open,73.82862285352921,True,False,EQ,177.81,True,20.0,1000.0,500.0,2,2.0,4.68124000000002,5.0,0.01,6820600.725,20.0,2467,2467,0,0,0,0,,Overnight strategy needs separate delivery and settlement review | Fails 20-session INR 50 crore liquidity screen,100000.0,7124164.441708872,7224164.441708872,-99627.01848455524,2.26829692193423,-0.5109379809129606,-0.5109379809129606,7084679.865371504,0.0013150327023025,1.0,False,False
4630,,BALAXI,BALAXI,BALAXI PHARMA LTD,INE618N01022,volume_reversal,73.82837962737753,True,False,EQ,25.37,False,,1000.0,500.0,19,,,5.0,0.01,638283.855,20.0,31,31,12,0,0,0,,Not listed in dated Zerodha MIS table | Below INR 100 pilot price floor or missing price | Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,-6490.652154980897,93509.3478450191,-17444.652034287807,-0.0807205834552312,-0.1743295782630968,-0.1743295782630968,76412.20498787623,-0.0144500323173761,0.2252836304700162,True,False
4631,,BRIGHTBR,BRIGHTBR,BRIGHT BROTHERS LTD.,INE630D01010,turn_of_month,73.827285109695,True,False,EQ,254.8,False,,1000.0,500.0,1,1.0,3.3296,5.0,0.05,540389.7,15.0,3,3,0,0,0,0,,Not listed in dated Zerodha MIS table | Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,-1503.5912018421077,98496.40879815789,-2686.946222960294,-0.1494754489903782,-0.02892307692307694,-0.0289230769230768,-15419.826089579585,-0.0578497789737568,0.0036466774716369,True,False
4632,,KMCSHIL,KMCSHIL,K M C SPECIALITY HOSP I L,INE879K01018,turn_of_month,73.82594736586077,True,False,EQ,138.24,True,20.0,1000.0,500.0,3,2.0,3.652959999999991,5.0,0.01,13126833.28,15.0,3,3,0,0,0,0,,Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,-1408.4508411537245,98591.54915884628,-2592.4102277571365,-0.3273109106582692,-0.016485523694666715,-0.0164855236946667,2049.943625415137,-0.0241799200576065,0.0036466774716369,True,False
4633,,ARDEE,ARDEE,ARDEE INDUSTRIES LIMITED,INE0XNF01022,gap_continuation_050,73.82132606897893,True,False,EQ,55.66,True,20.0,1000.0,500.0,8,,,5.0,0.01,405095361.165,18.0,3,3,0,0,0,0,,Below INR 100 pilot price floor or missing price | Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,-4440.652768238186,95559.34723176181,-5600.934002891328,-0.1998222216634976,-0.0785019553349875,-0.0785019553349875,7239.9193414162,-0.1270210646689109,0.0048622366288492,True,False
4634,,TATACAP,TATACAP,TATA CAPITAL LIMITED,INE976I01016,gap_continuation_100,73.81865058131051,True,False,EQ,375.05,True,20.0,1000.0,500.0,1,1.0,4.9601,5.0,0.05,378918138.875,20.0,24,24,11,0,0,0,,Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,-639.9085076952615,99360.09149230474,-9756.034655276278,-0.0093557440771296,-0.07843346235143889,-0.0784334623514388,-14406.928174866463,-0.007835163252248,0.0875202593192868,True,False
4635,,HALDER,HALDER,HALDER VENTURE LIMITED,INE115S01010,volume_reversal,73.81208347521526,True,False,EQ,293.5,False,,1000.0,500.0,1,1.0,3.8369999999999775,5.0,0.05,8507939.4,20.0,13,13,6,0,0,0,,Not listed in dated Zerodha MIS table | Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,-840.8399096693902,99159.16009033061,-5880.018192114629,-0.0137555533120432,-0.12734036909843593,-0.1273403690984358,-10940.77552330977,-0.0167031628506102,0.0603727714748784,True,False
4636,,LCL,LCL,LOHIA CORP LIMITED,INE0QJW01029,momentum_1d,73.81184024906358,True,False,EQ,581.5,True,20.0,1000.0,500.0,0,,,5.0,0.05,352311216.425,20.0,11,11,4,0,0,0,,One share exceeds INR 500 cash cap | Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,-1649.5711091534467,98350.42889084655,-5899.637362896465,-0.037616283986783,-0.06615858401417318,-0.066158584014173,-16085.478913439743,-0.0221482152093311,0.0085089141004862,True,False
