eq_rank,worklist_rank,symbol,current_symbol,company_name,isin,strategy,research_score,eq_screen_pass,worklist_pass,current_series,snapshot_price,broker_listed,mis_margin_percent,budget,notional_cap,cash_cap_shares,illustrative_risk_shares,illustrative_planned_loss,risk_budget,tick_size,recent_median_value,recent_sessions,number_of_trades,audited_trades,short_trades,restricted_trades,unknown_series_trades,non_eq_trades,screen_reasons,worklist_reasons,historical_initial_investment,net_pnl,historical_ending_value,pnl_30bps,sharpe,max_drawdown,original_max_drawdown,excess_pnl,confidence_95_low,coverage_ratio,intraday,execution_validated
4183,24,TATAPOWER,TATAPOWER,TATA POWER CO LTD,INE245A01021,gap_fade_050,75.33905725543612,True,True,EQ,368.0,True,20.0,1000.0,500.0,1,1.0,4.845999999999977,5.0,0.05,1580684879.8,20.0,1009,1009,771,0,0,0,,,100000.0,485684.0159712484,585684.0159712484,-89674.95785663796,0.8502980741044074,-0.4294481076991955,-0.4294481076991955,122221.21149462076,0.0005411692980729,1.0,True,False
4212,25,MARKSANS,MARKSANS,MARKSANS PHARMA LIMITED,INE750C01026,gap_fade_050,75.23982098555237,True,True,EQ,326.75,True,20.0,1000.0,500.0,1,1.0,4.2935,5.0,0.05,723088181.3,20.0,1378,1378,1080,0,0,0,,,100000.0,1442289.3941048551,1542289.3941048551,-93792.36540482624,0.9020704099845476,-0.4770662832542407,-0.4770662832542407,739952.3707346201,0.0007807361916508,1.0,True,False
4215,26,NTPC,NTPC,NTPC LTD,INE733E01010,volume_reversal,75.23057839178867,True,True,EQ,332.5,True,20.0,1000.0,500.0,1,1.0,4.3750000000000115,5.0,0.05,2596856663.35,20.0,84,84,62,0,0,0,,,100000.0,28322.41478079336,128322.41478079336,-8277.283589064304,0.373295303999141,-0.12823268642292784,-0.1282326864229278,-79073.38590864529,-0.0022975650005341,1.0,True,False
4649,27,IOC,IOC,INDIAN OIL CORP LTD,INE242A01010,gap_fade_100,73.75662791263316,True,True,EQ,137.6,True,20.0,1000.0,500.0,3,2.0,3.6304000000000087,5.0,0.01,1088369458.555,20.0,420,420,277,0,0,0,,,100000.0,48454.804325295176,148454.80432529518,-72393.29157836112,0.3427739884306375,-0.2321135516430045,-0.2321135516430046,2321.8844930871564,-0.001000387455441,1.0,True,False
4735,28,ENGINERSIN,ENGINERSIN,ENGINEERS INDIA LTD,INE510A01028,gap_fade_100,73.53358953154643,True,True,EQ,279.45,True,20.0,1000.0,500.0,1,1.0,3.6489,5.0,0.05,643467907.135,20.0,402,402,262,0,0,0,,,100000.0,103782.2064288152,203782.2064288152,-59228.79705583357,0.4736174911515088,-0.37583237751076093,-0.375832377510761,-4037.7071557246672,-0.0007187661385153,1.0,True,False
4813,29,CUB,CUB,CITY UNION BANK LTD,INE491A01021,gap_fade_050,73.22712458043489,True,True,EQ,236.01,True,20.0,1000.0,500.0,2,1.0,3.1320200000000136,5.0,0.01,520786236.12,20.0,1132,1132,814,0,0,0,,,100000.0,430162.2895779904,530162.2895779904,-94294.12482417596,0.7945792129097383,-0.5521400326603653,-0.5521400326603654,355244.3193376238,0.0003725218970168,1.0,True,False
4854,30,MRPL,MRPL,MRPL,INE103A01014,gap_fade_050,73.0931069708615,True,True,EQ,174.83,True,20.0,1000.0,500.0,2,2.0,4.609320000000018,5.0,0.01,1066722579.155,20.0,1262,1262,943,0,0,0,,,100000.0,1091734.5993370027,1191734.5993370027,-92367.78129530004,0.889686597982504,-0.7131132689268685,-0.7131132689268685,976349.9839523878,0.000731240522237,1.0,True,False
4921,31,SAMMAANCAP,SAMMAANCAP,SAMMAAN CAPITAL LIMITED,INE148I01020,gap_fade_100,72.8467188792139,True,True,EQ,158.39,True,20.0,1000.0,500.0,3,2.0,4.163560000000025,5.0,0.01,963280553.225,20.0,573,573,363,0,0,0,,,100000.0,93289.4653706447,193289.4653706447,-80548.14871691461,0.3669429967851167,-0.5116102388718483,-0.5116102388718484,162099.33551775638,-0.0015213424187175,1.0,True,False
5024,32,MRPL,MRPL,MRPL,INE103A01014,gap_fade_100,72.52201196672667,True,True,EQ,174.83,True,20.0,1000.0,500.0,2,2.0,4.609320000000018,5.0,0.01,1066722579.155,20.0,566,566,389,0,0,0,,,100000.0,169947.97263173113,269947.9726317311,-72002.33158862073,0.5085821814500775,-0.6812587551797253,-0.6812587551797253,54563.35724711619,-0.0005637281097032,1.0,True,False
5073,33,GAIL,GAIL,GAIL (INDIA) LTD,INE129A01019,gap_fade_100,72.33764654375638,True,True,EQ,173.4,True,20.0,1000.0,500.0,2,2.0,4.583600000000036,5.0,0.01,1109878265.1999998,20.0,360,360,237,0,0,0,,,100000.0,35285.0011977439,135285.0011977439,-68015.66120901938,0.2793000918566432,-0.2588484789305322,-0.2588484789305321,-2329.9117547301576,-0.001445862205179,1.0,True,False
5131,34,FEDERALBNK,FEDERALBNK,FEDERAL BANK LTD,INE171A01029,gap_fade_100,72.1272559225568,True,True,EQ,343.0,True,20.0,1000.0,500.0,1,1.0,4.515999999999978,5.0,0.05,1485111743.85,20.0,397,397,268,0,0,0,,,100000.0,249695.0638091014,349695.0638091014,-28460.3015862256,0.7844090281773941,-0.2249947067930086,-0.2249947067930086,-164548.0383534617,0.0007253434516086,1.0,True,False
